,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
8225,JNJ,"An Open-label, Roll-over Study With Rilpivirine in Combination With a Background Regimen Containing 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors (N[t]RTIs) in Human Immunodeficiency Virus Type 1 (HIV-1) Infected Subjects Who Participated in the Rilpivirine Pediatric Studies","The purpose of this study is to provide continued access to rilpivirine (RPV) for participants who were treated with RPV in a clinical development pediatric study with rilpivirine and who, at the time of roll-over, experience and are expected to continue experiencing clinical benefit from RPV treatment.",2015,7,Phase 2,100,Recruiting,Acquired Immunodeficiency Syndrome,July,2011-2015,50-99
8226,Merck,"A Prospective, Multicenter, Double-Blind, Randomized, Comparative Study to Evaluate the Safety, Local Tolerability, and Clinical Outcome of Ertapenem Versus Ceftriaxone in Pediatric Patients With Complicated Urinary Tract Infection, Skin and Soft Tissue Infection, or Community-Acquired Pneumonia","This study will investigate the safety and efficacy of ertapenem versus ceftriaxone in pediatric patients with urinary tract infections, skin infections, or community-acquired pneumonia.",2002,1,Phase 2,400,Completed,Urinary Tract Infections,January,2001-2005,100-499
8227,Roche,"A Randomized, Multicenter Phase III Trial to Assess the Efficacy and Safety of Bevacizumab and Capecitabine as Maintenance Treatment, After Initial Combination Treatment With Capecitabine, Oxaliplatin and Bevacizumab in Patients With Metastatic Colorectal Adenocarcinoma","This 2 arm study assessed the efficacy and safety of maintenance treatment with Avastin (bevacizumab) + Xeloda (capecitabine), after initial treatment with Xeloda + oxaliplatin + Avastin, in patients with metastatic colorectal cancer. Patients were randomized into one of 2 groups to receive 1) Xeloda + oxaliplatin + Avastin until disease progression or 2) Xeloda + oxaliplatin + Avastin for 6 3-week cycles, followed by Xeloda + Avastin until disease progression. Xeloda was administered at a dose of 1000 mg/m^2 orally twice a day on days 1-14 of each cycle, oxaliplatin at a dose of 130 mg/m^2 intravenously (iv) on day 1 of each cycle, and Avastin at a dose of 7.5 mg/kg iv on day 1 of each cycle.",2008,3,Phase 3,123,Completed,Colorectal Neoplasms,March,2006-2010,100-499
8228,GSK,"Study STF115288, a Clinical Confirmation Study of GI148512 (Benzoyl Peroxide 3% Gel) in the Treatment of Acne Vulgaris in Japanese Subjects.- A Multicenter, Randomized, Double-blinded, Vehicle-controlled, Parallel-group Study -","This is a multicenter, randomized, double-blinded, vehicle-controlled, parallel-group study in Japanese subjects with acne vulgaris to demonstrate the efficacy of GI148512 (benzoyl peroxide [BPO] 3% gel) when applied once daily for 12 weeks. This study will also evaluate the safety of GI148512 when applied topically once daily for 12 weeks.",2011,7,Phase 3,360,Completed,Acne Vulgaris,July,2011-2015,100-499
8229,Bayer,"Single Dose, Open Label, Randomized, Crossover Study in Subjects With Severe Hemophilia A Comparing Pharmacokinetic Parameters of BAY 94 9027 and Elocta",The purpose of this study is to compare the pharmacokinetics of BAY94-9027 and Elocta after intravenous administration.,2017,11,Phase 1,18,Completed,Hemophilia A,November,2016-2020,<50
8230,JNJ,"A Randomized, Double-Blind, Placebo-Controlled, Single and Multiple Dose Study to Evaluate and Compare the Pharmacokinetics of ER OROS Paliperidone in Healthy Japanese and Caucasian Subjects.",The purpose of the study was to evaluate and compare the pharmacokinetics of ER OROS paliperidone in healthy Japanese and Caucasian patients.,2004,3,Phase 1,60,Completed,Schizophrenia,March,2001-2005,50-99
8231,GSK,"A Randomized, Double-blind, Placebo-controlled, Parallel-group Study to Investigate the Efficacy and Safety of Nine-weeks Administration of Three Doses of SB-683699 in Subjects With Moderately to Severely Active Crohn's Disease",This study will evaluate the effectiveness and safety of the investigational drug 683699 in treating subjects with moderately to severely active CD (Crohn's Disease).,2004,10,Phase 2,17,Completed,Crohn Disease,October,2001-2005,<50
8232,Sanofi,"A Fifty-two-week, Multicenter, Open-label Study Evaluating the Long-term Safety and Tolerability of Saredutant in Adult and Elderly Patients With Major Depressive Disorder",The purpose of the study is to evaluate the long-term safety of saredutant (or SR48968C) in adult and elderly patients with depression.The primary objective is to evaluate the long-term safety and tolerability of a 100 mg dose of saredutant in adult and elderly patients with depression. The secondary objective is to evaluate blood levels of saredutant.,2005,5,Phase 3,365,Completed,Depressive Disorder,May,2001-2005,100-499
8234,Roche,"An Open-Label, Multi-Center Study to Determine Level of Adherence to Monthly Oral or Every Three Month Intravenous Ibandronate Treatment in Post-Menopausal Women With Osteoporosis or Osteopenia, Who Are GI Intolerant of Daily or Weekly Alendronate or Risendronate","The purpose of this study is to evaluate treatment adherence to different regimens of ibandronate in postmenopausal women with osteoporosis or osteopenia who are intolerant to daily or weekly alendronate or risedronate therapy due to gastrointestinal (GI) side effects. The anticipated time on study treatment is 12 months, and the target sample size is 517 individuals.",2005,1,Phase 4,545,Completed,"Osteoporosis, Postmenopausal",January,2001-2005,500-999
8235,Novartis,A Long-term Extension Study of TCH346 and Placebo Administered Once Daily in Patients With Amyotrophic Lateral Sclerosis(ALS),This is a study to evaluate the safety and clinical effects of 4 oral doses of TCH346 compared to placebo in patients with mild or mild to moderate stages of ALS.,2004,11,Phase 2,350,Completed,Amyotrophic Lateral Sclerosis,November,2001-2005,100-499
8236,Pfizer,"Phase II Randomized, Double-Blind, Placebo-Controlled Multicenter Efficacy And Safety Study Of Tanezumab As Add-On Therapy To Opioid Medication In Patients With Pain Due To Bone Metastases",The purpose of this study is to investigate the safety and efficacy of tanezumab in combination with opioids in treating pain due to cancer that has spread to bone.,2009,4,Phase 2,59,Completed,Neoplasm Metastasis,April,2006-2010,50-99
8237,Merck,"A Double Blind, Placebo Controlled, Randomized, Two Period 4-Arm Trial to Investigate the Dose-Related Efficacy and Safety of Org 26576 in Adults With Attention-Deficit/Hyperactivity Disorder (ADHD)","This is a Phase 2 multicenter, randomized, double-blind trial of MK-8777 (Org 26576, SCH 900777) in adult subjects with Attention-Deficit/Hyperactivity Disorder (ADHD). MK-8777 or placebo will be administered in a crossover fashion for two 3-week treatment periods. The two 3-week treatment periods will be separated by a 2-week placebo washout period. The primary objective is to compare the efficacy of various doses of MK-8777 to that of placebo in the treatment of ADHD symptoms in adults.",2008,4,Phase 2,67,Completed,Attention Deficit Disorder with Hyperactivity,April,2006-2010,50-99
8238,Merck,A Study to Assess the Single Dose Pharmacokinetics of Two and Proof of Efficacy of One New Etoricoxib Gel Formulation in Osteoarthritis Patients,"Study Part 1 is designed to assess the plasma pharmacokinetics of etoricoxib (ETOR) 4% dimethyl sulfoxide (DMSO) and propylene glycol (PG) formulations, each at 2 different doses, upon single-dose topical administration on the knee of osteoarthritis participants. Study Part 2 is designed to evaluate the efficacy of topical etoricoxib vs. placebo in the treatment of osteoarthritis of the knee. The primary hypothesis is that topical etoricoxib will be more effective than placebo in the treatment of osteoarthritis of the knee over 2 weeks of treatment as assessed by time-weighted average change from baseline on the Western Ontario and McMaster Universities Arthritis Index (WOMAC) Visual Analogue (VA) 3.0 pain subscale.",2013,12,Phase 1/Phase 2,70,Completed,Osteoarthritis,December,2011-2015,50-99
8239,Novartis,Effect of Zoledronic Acid in Patients With Prostate Cancer and Bone Metastasis,It is the aim of this clinical study to evaluate the skeletal-related event rate and tolerability of zoledronic acid in patients with prostate cancer patients and bone metastases.,2002,10,Phase 4,284,Completed,Bone Neoplasms,October,2001-2005,100-499
8240,Roche,"A Phase III, Multicenter, Randomized, Placebo-Controlled Study of Atezolizumab (Anti−PD-L1 Antibody) as Monotherapy and in Combination With Platinum-Based Chemotherapy in Patients With Untreated Locally Advanced or Metastatic Urothelial Carcinoma","A Phase III, randomised study of atezolizumab alone and in combination with chemotherapy versus chemotherapy alone in participants with untreated advanced urothelial cancer.",2016,6,Phase 3,1200,"Active, not recruiting",Carcinoma,June,2016-2020,1K-5K
8241,Novartis,"An Open-Label, Single Arm, Phase II Study to Evaluate the Efficacy and Safety of Pasireotide LAR on the Treatment of Patients With Clinically Non-Functioning Pituitary Adenoma",This study will assess pasireotide LAR efficacy on patients with non-functioning pituitary adenomas concerning tumor growth.,2012,11,Phase 2,20,Completed,Adenoma,November,2011-2015,<50
8242,JNJ,Study of Treat to Target Versus Routine Care Maintenance Strategies in Crohn's Disease Patients Treated With Ustekinumab,The purpose of this study is to evaluate the efficacy of a treat to target strategy coupled with early endoscopic assessment versus a clinically driven (routine care) approach in achieving endoscopic response.,2017,4,Phase 3,650,Recruiting,Crohn Disease,April,2016-2020,500-999
8243,Pfizer,"A Randomized, Double-Blind, Placebo-Controlled Phase 2 Study To Evaluate The Efficacy And Safety Of Oral PF-04136309 500 Mg BID In Subjects With Chronic HCV Infection And Raised Aminotransferases",This study will evaluate the effect of PF-04136309 in patients with chronic hepatitic C virus infection and abnormal liver enzymes.,2010,12,Phase 2,24,Terminated,"Hepatitis C, Chronic",December,2006-2010,<50
8244,Pfizer,"A One Year, Open-Label Outpatient, Parallel Group Trial Assessing the Impact of the Availability of Inhaled Insulin (Exubera) on Glycemic Control in Patients With Type 2 Diabetes Mellitus Who Are Poorly Controlled on a Minimum of Two Oral Anti Diabetic Agents",To assess the impact on glucose control by inhaled insulin in patients with type 2 diabetes who are not well controlled on 2 or more oral anti-diabetic agents,2005,4,Phase 3,1100,Completed,Diabetes Mellitus,April,2001-2005,1K-5K
8245,Pfizer,"AVINZA Control of Chronic Pain, Effectiveness and Safety Study (ACCESS 2008) A Multi-Center Study to Evaluate the Effectiveness and Tolerability of AVINZA for Chronic Moderate-Severe Pain: A Focus on Risk Minimization Assessment, Intervention and Outcomes","The purpose of this study is to provide information in a broad, ""real world"" population of chronic pain patients assessing both pain control with AVINZA as well as the potential risk for misuse and abuse.",2008,3,Phase 4,1570,Completed,Chronic Pain,March,2006-2010,1K-5K
8246,JNJ,"A Randomized, Open-Labeled, Multi-Center Study to Investigate the Safety and Efficacy of OROS Hydromorphone HCl Comparing With Morphine SR in Cancer Pain Patients",The purpose of this study is to evaluate the effectiveness and safety of Osmotic Release Oral System (OROS) hydromorohone Hydrochloride (HCl) compared with morphine sustain release (SR) in participants with chronic (lasting a long time) malignant (cancerous) cancer pain.,2008,11,Phase 3,2,Terminated,Cancer Pain,November,2006-2010,<50
8247,Sanofi,"Efficacy and Safety of 2 mg/Day M100907 on Sleep Maintenance Insomnia: a 6-week, Multicenter, Randomized, Double-blind, Placebo-controlled Polysomnographic Study","The purpose of this study is to assess efficacy and safety of volinanserin in the population of patients complaining of sleep maintenance insomnia. The patients suffering from that condition frequently wake up during the night, their sleep is non restorative and they suffer from a significant distress or impairment in their daily activities consecutive to insomnia.",2007,4,Phase 3,604,Completed,Sleep Initiation and Maintenance Disorders,April,2006-2010,500-999
